科目名,年度,時間割コード,テーマ
専門基礎英語（文章表現、会話）II,2020,3C011,"In this course, students will undertake extensive listening of a wide range of topics and engage in various forms of speaking activities about them. By engaging in these activities, students should be able to develop their study skills, critical thinking skills and academic English skills, with a special focus on listening and speaking."
専門基礎英語（文章表現、会話）II,2020,3C013,"This course aims to help students develop writing fluency and proficiency through free-writing, drafting, and peer-editing activities.  Students will be expected to conduct independent research on a topic of their choosing, and to write on this topic throughout the quarter, culminating in a 1000 ~ 1500-word essay."
専門演習Ａ（異文化）,2020,1C216,論文作成に必要な文献渉猟のための読解力と論理構成能力、事例収集能力と分析能力の涵養。
博物館概論,2020,1C091,学芸員とは、長年にわたり守り伝えられてきた資料（＝モノ）と市民をつなぐ専門職である。博物館概論では博物館学、博物館学芸員養成課程への導入として、博物館の使命や機能、学芸員の仕事などについて学ぶ。また、神戸市及び近隣にある博物館の歴史と特色を学ぶことで、地域の博物館への理解を深めるとともに、その役割と意義について考える。
専門演習Ｂ(2)（地域）,2020,1C236,「芸能、祭り、イベントのフィールドワークと記述」及び「芸能のエコロジー」この授業では、様々な地域の芸能、祭り、イベント等の文化的事象、伝承の形成、変容、観光との関連、地域活性化などの問題に取り組むための現地調査や分析の視点を学ぶ。
英米文学概論,2020,3C084,英米の文化は、英語世界の拡大とともに世界に広く浸透しグローバルなものとなっている一方で、容易には理解しがたい異文化としての側面も持っている。この授業では、英米文化の「粋」ともいうべき文学作品について、16世紀から現代までを概観する。
メディア情報処理,2020,3C104,"国際文化学部「メディア情報処理」の講義は国際人間科学部「現代IT入門A,B」読み替え授業となっています。　情報技術(Information Technology,IT)は我々の身の回り、産業、社会など様々な分野に急速に浸透してきている。急速に発達する技術が我々の生活にも大きな変革を及ぼそうとしているのである。コンピュータ技術に基づいたデジタル情報で表現されているマルチメディアの構造や取り扱い方を学び、それらが我々の世界にどのような影響を与えるかを考えることをテーマとする。"
比較政策論,2020,3C135,従来、政策は国民国家単位で検討され、立案されるのが一般的だったが、グローバル化の進展による越境的な課題の急増は一国単位での政策実施の有効性を著しく低下させた。世界各国は政策実践を相互に参照し、協調しながら、自国の歴史的・制度的背景に適合する政策を選択することを求められている。本科目では、先進諸国が共通して直面している政策課題とそれに対する各国の対応について、Ｇ８諸国の政策実践を比較しながら検討する。具体的には財政再建、通商政策、産業政策、地球温暖化対策、地方分権、移民・外国人に対する対応、少子・高齢化、格差是正、犯罪・テロ対策、教育改革、都市再生、雇用政策、農業・食糧政策、エネルギー政策、男女共同参画などの分野を取り上げます。
国際コミュニケーション演習I,2020,1C061,"This course is designed for students interested in global issues and foreign languages. Through a journey of several sessions, we will study different cultural or environmental issues which are happening in the world, we will see what kind of solutions are proposed by scholars, government agencies or international organizations or NGO’S’s we will analyze them and see what is good or bad, developing, therefore, our critical thinking.  At the same time, we will enrich our vocabulary, work on our grammar and deepen our understanding of concepts and develop our academic writing and presentation skills. designed to show to analyze global issues, discuss the concepts and practices the vocabulary used in academic writing and practicing logical and critical thinking. The goal is to be able to write one's own opinion logically on the theme using the writing style and vocabulary of reports."
Cultures and Societies in Japan I,2020,1C068,An Examination of Japanese cultural traditions from the perspective of Japanese music history
現代アート論,2020,1C120,時代を象徴するような美術作品を解説･参照しながら、20世紀以降の近現代美術の流れと、そこにおける諸問題を考察する。
専門演習Ｂ(2)（異文化）,2020,1C223,この演習では、様々な社会問題を解決・改善するための政策を立案し、提言するトレーニングを行います。大学の授業では、社会問題に対する過去の研究や思想を学ぶことに多くの時間を割いていますが、「ではどうしたらよいのか？」という問いに正面から取り組む機会は限られています。結果的に大学時代に考えていた「理想」と、社会に出たからの「現実」がかけ離れたまま、社会人生活を送ることになりがちです。政治や社会を批判的にとらえるだけでは、自分が社会の一員となった場合の行動力や思考力は身に付きません。「どうせ理想通りにいかない世の中だから」と諦めて、本の中の理想に閉じこもるのではなく、現実の様々な制約の中でどこまで自分なりの理想を実現できるのかを考える力を身につけることこそ、政策型思考力だと言えます。この授業では、毎週、グループや個人で様々な社会問題に対する政策提言のプレゼンテーションを行うことで、政策を立案し、議論し、実現する、政策型思考力を鍛えてゆきたいと考えています。この演習は講座や学年を問わず、積極的に発言し、議論する学生を歓迎します。なお今期は７月７日に神戸大学で開催される関西国際関係合同ゼミナールに参加しますので、合同ゼミに関わる活動にも積極的に参加してほしいと思います。その他、神戸大学法学部のゼミとの研究会も予定しています。他講座や今期から初めて私の演習を受講する方も歓迎します。
言語表現論,2020,3C096,この授業のテーマは、レトリックと認知言語学的です。日常生活のなかで、抽象的なことを分かりやすくするために喩えを出す、頼みにくいことを丁寧に依頼するためにほのめかすといった工夫は、そのものずばりの表現ではなく、状況にあった効果的な表現を選ぶ「レトリック」の手法に関係しています。この授業では、認知言語学を背景として、レトリックについての理解を深めていきます。
近代経済思想論,2020,3C110,今日における資本主義の変容と統治問題情報化やグローバル化をキーワードに語られる今日の資本主義が、18世紀以来の古典的資本主義とどのように異なり、また同じであるかを考える。その際、問題を経済的次元に限定させることなく、政治、とりわけ市場や人間の生そのものの管理や統治をめぐる諸思想との関連に留意する。
専門演習Ｂ(1)（異文化）,2020,3C217,後期月曜３時限の演習では、主に３回生を対象として、個人研究報告と卒論研究の準備としてレポートの作成を指導します。本演習では、Ｇ7（アメリカ、イギリス、フランス、ドイツ、イタリア、カナダ、日本）諸国を比較政治・社会学的に考察していくことをメインテーマとします。大きく分けて、１．Ｇ８諸国と国際政治経済、２．Ｇ８諸国における政治・経済・社会問題、３．比較外交政策、４．大衆消費文化（テレビ、映画、音楽など）に反映されている政治・経済・社会問題などをカバーします。講座や学年を問わず、意欲のある皆さんの積極的な受講を歓迎します。
専門演習Ｂ(3)（異文化）,2020,3C223,後期月曜３時限の演習では、主に３回生を対象として、個人研究報告と卒論研究の準備としてレポートの作成を指導します。本演習では、Ｇ7（アメリカ、イギリス、フランス、ドイツ、イタリア、カナダ、日本）諸国を比較政治・社会学的に考察していくことをメインテーマとします。大きく分けて、１．Ｇ８諸国と国際政治経済、２．Ｇ８諸国における政治・経済・社会問題、３．比較外交政策、４．大衆消費文化（テレビ、映画、音楽など）に反映されている政治・経済・社会問題などをカバーします。講座や学年を問わず、意欲のある皆さんの積極的な受講を歓迎します。
国際コミュニケーション演習I,2020,1C062,"This course is designed for students interested in global issues and foreign languages. Through a journey of several sessions, we will study different cultural or environmental issues which are happening in the world, we will see what kind of solutions are proposed by scholars, government agencies or international organizations or NGO’S’s we will analyze them and see what is good or bad, developing, therefore, our critical thinking.  At the same time, we will enrich our vocabulary, work on our grammar and deepen our understanding of concepts and develop our academic writing and presentation skills. designed to show to analyze global issues, discuss the concepts and practices the vocabulary used in academic writing and practicing logical and critical thinking. The goal is to be able to write one's own opinion logically on the theme using the writing style and vocabulary of reports."
国際コミュニケーション演習I,2020,1C063,Students will develop their abilities to communicate in English on various topics which students get easily interested in.
北アジア社会文化論,2020,1C082,この授業のテーマは「モンゴル近現代史」である。第一クォーターでは、主として、清王朝治下のモンゴルで独立運動が発生するに到るその歴史的な前提状況を詳しく講ずる。第二クォーターでは、主としてモンゴルの独立とその後の苦悩とを講ずる。
博物館展示論,2020,1C093,国内外の美術館･博物館での展示の歴史を学び、インスタレーションやパフォーマンスを含むさまざまな芸術表現形式を理解した上で、現代における展示の意味を考える。
ガヴァナンス論,2020,1C133,政治現象に一致や相違が見られるのは何故なのか。政治制度が異なれば、どのような異なった結果が生じるのか。複数の国家、地域ないし時代の政治現象について、認識を深めると同時に、そうした現象を引き起こす要因や現象が与える影響を考察することを目標とする。　前半では、国内政治を構成する中心的なアクター、制度に焦点を当て、これまでの理論的成果を検討することを目標とする。　後半では、現代の諸国家が第2次大戦以後、直面する政治経済的諸課題にどのように対応してきたか、比較福祉国家論、グローバル化、政治体制と経済成長、民主化という視点から比較考察する。
日本近現代社会論,2020,1C142,文化史研究の手法と題材を用い、東アジア同時代史の枠組みのなかで戦後日本の占領期とその歴史的経験を検討する。戦後の民主化、植民地忘却と戦争認識、占領期神戸について検討する。占領期を歴史認識の対象として考える試み。
環大西洋文化論,2020,1C153,現在のコーヒー・フードシステムの基礎は、主要なコーヒー生産国と消費国が集中する環大西洋地域で生み出されました。ヨーロッパ、南北アメリカ、アフリカ諸国は、絶え間なく繰り返される相互影響を通じてそれぞれ個性的なコーヒー文化を育んでいます。本講義は、トランスナショナルな視点からその複雑な歴史的相互関係を紐解いていきます。
非言語コミュニケーション論,2020,3C079,コミュニケーションは私たちにとってもっとも身近な題材です。この授業ではとりわけ心理学・認知科学における実証的方法論に重点を置きながら，非言語コミュニケーションの理論と方法について学びます。授業の前半で人間の感覚・知覚に関して基礎的な知見を紹介し，非言語コミュニケーションにおいて重要な要素である感情や情動について詳しく扱います。授業の後半では，複雑な様相を示す人間の時々刻々の相互行為を総体としてとらえようとする「マルチモーダルインタラクション」を扱い，音楽演奏，漫才やラジオ等，現実のマルチモーダルインタラクションについて考えます。それらの実例に基づいて今日的問題についても考えてみたいと思います。
日本言語文化論,2020,3C146,テーマは「超越者の観念からみる日本思想」である。
日本語コミュニケーション,2020,1C055,にほんごの　かいわの　れんしゅうをします。ときどき　にほんごのぶんを　よんだり　かいたりします。／コミュニケーションの基本となる会話能力や口頭発表能力の向上を目指す。スピーチやディスカッションのために、日本語の文章の読解や作文をすることもある。
専門諸言語（イタリア語）,2020,1C058,イタリア文化を概観しつつ基礎的なイタリア語を学ぶ
日本社会文化論,2020,1C147,注意：新型肺炎感染拡大にともなう措置】Q1のクラスはBEEFを用いた遠隔教育となります。指定文献およびBEEFにアップした資料を用いて課題を出す予定です（変更の可能性アリ）。日本とかかわりの深い国や地域、あるいは神戸とかかわりの深い都市について歴史的に紹介・議論する。
東南アジア国家形成論,2020,1C150,東南アジアは環太平洋地域の中で要の位置にある。本講義では人間の文化的構築物の中で権力に関わるものとしては最も重要な国家の形成、その「タイプ」の変遷の観点から、東南アジア（特に島嶼部）の歴史を考える。
専門演習Ｂ(2)（異文化）,2020,1C222,本演習では、ヨーロッパを対象とした人類学的イスラーム研究の最新の動向を、英語論文の購読を通して学ぶ。　2010年末にいわゆる「アラブの春」の動きが中東諸国で波及して以降、中東諸国から欧州に移民あるいは難民として流入する人々の数は増加の一途を辿っている。そのような情勢の中、ムスリム、そしてイスラームへの関心が高まっているが、人類学的なアプローチを通して、イスラームという「宗教」、あるいはムスリムのことをどのように理解することが可能となるのか、また欧州におけるイスラームやムスリムを取り巻く現状はいかなるものであるのかを学ぶ。
専門諸言語（イタリア語）,2020,3C058,イタリア文化を概観しつつ基礎的なイタリア語を学ぶ
現代社会人類学,2020,3C085,地球上に住むひとびとが営む文化のさまざまな側面をアフリカ民族誌を手がかりとして考える。今年度は近刊の教科書の内容を検討することで幅広い知見を涵養することを目指す。
言語間コミュニケーション論,2020,3C097,異文化コミュニケーションとしての広義の翻訳行為をテーマとして扱う。
現代社会人類学（高度教養科目）,2020,3CZ02,地球上に住むひとびとが営む文化のさまざまな側面をアフリカ民族誌を手がかりとして考える。今年度は近刊の教科書の内容を検討することで幅広い知見を涵養することを目指す。
Academic Communication（独）,2020,1C031,日常生活と留学のためのドイツ語のコミュニケーション能力を身につけるための授業です。日常的な場面と大学の授業等の場面でドイツ語で話す・聞くことができるようになります。次の3つから参加者とともに学習内容を決定し、それに沿って授業を行います。１．	ディスカッション２．	SNS３．	テーマプロジェクト（テーマは参加者によって変わる）
Academic Communication（仏）,2020,1C033,これまでに学習した基礎を確認しながら、初級の文法や表現を完成させ、初級から中級への橋渡しとなるコミュニケーション能力の向上を目的とします。この授業では、身の回りの問題や状況の説明、自分の経験や将来について、または情報交換を求めるなどの身近で日常的なテーマとして扱います。
情報資料構成論,2020,1C106,様々なデータから情報を収集・加工・蓄積して資料を構成するために必要となる知識を習得することを目的とする．文系の学生を対象とするため、あまり難しくないように努める。例えば、必要となる論理の知識は第2回の集合論入門で解説・教授するので数学的知識は予め要求しない。
民族学,2020,1C131,グローバル化の進展にともなう様々な現代的課題、特に民族史的研究を媒介にし、文化人類学の社会的貢献や現代的課題への取り組みをすすめている新しい分野である「公共人類学」の視点と方法を学ぶ。
専門演習Ａ（情報）,2020,1C202,身の回りにあふれる言語について、社会との関係、獲得・習得について、言語学の基礎を学びながら考えていく。
専門演習Ｂ(2)（情報）,2020,1C205,（前半：正田）心理学は，人をはじめとする生物の心理や行動の諸相とその背後にある仕組みを科学的に究明する学問です。この授業では，心理学実験を通して，人間の心理を測定し，その背景にある認知的メカニズムを推測・理解するための方法論を学びます。また卒業論文を執筆する上で必要となる統計手法のいくつかを扱います。（後半：松本）本演習では、認知心理学分野における実証的研究を行うための実践的な実験心理演習を行います。心理検査法や機器を用いた心理学実験、データ解析を実際に手を動かして学び、卒業研究にむけての道筋をつけましょう。
専門演習Ａ（現代）,2020,1C207,ヨーロッパ・ロマン主義絵画を文学との関係、社会・政治的背景、自然への態度、自我意識、異文化への関心といった多様な視点から分析することを通して、近代科学あるいは近代そのものへの批判としてのロマン主義の意義を問う。
専門演習Ａ（現代）,2020,1C210,本演習では、先端社会論の各分野がどのような具体的内容を持っているかを知ってもらい、今後の専門的学習に向けて基礎固めをすることを目的とする。
専門演習Ａ（異文化）,2020,1C217,自分が関心をもって取り組みたい政治的・社会的な課題について探すことはとても大切です。その一方で、その課題に出会った時に、どのように調査・研究すれば良いのでしょうか。本演習では、社会学や経済学など他分野の問題関心や考え方を柔軟に取り入れてきた政治学の分析方法について修得することを目指します。なお本演習では、基本的に毎回発表者を立てます。発表者がレジュメに基づき発表した後、全員で討論することを予定しています。
専門演習Ａ（地域）,2020,1C234,この演習では、まず前半で、タイの前国王ラーマ9世プーミポン国王（1927－2016）の足跡をたどりながら、タイ王政の歴史的・文化的・宗教的背景、ラーマ9世王が生きた時代のタイ政治・社会、彼が担った役割、その社会的評価の変遷について調査し、現在に至るまでのタイ現代史を概観する。次に、後半で、19世紀半ばのラーマ4世以降のタイ国王について、同様の手法で探求的学修を行う。
Aspects of EU Culture and Society（Seminar）,2020,3C029,"The aim of this seminar is to explore the ongoing social and cultural dimensions of the Europeanization process. The concept of “European identity” will be analyzed, observing both institutional ideas and projects, and social and cultural practices from below.In the first part, we will focus on the official discourses regarding the idea and the political project of “Europe”, the issues of European identity and cultural policies, and the dissonant experimental identities that emerged after Maastricht. In the second part, an analysis of the expression of European Identity, as experienced by subjects, will be carried out, taking advantage of biographical approach in sociology. Through the life stories of real European inhabitants – belonging to different social categories: students, workers, activists, farmers, mixed origin people, etc. – we will get a bottom-up understanding of what being European means."
Academic Writing（独）,2020,3C032,日常生活と留学のためのドイツ語のコミュニケーション能力を身につけるための授業です。日常的な場面と大学の授業等の場面でドイツ語で話す・聞くことができるようになります。次の3つから参加者とともに学習内容を決定し、それに沿って授業を行います。１．	ディスカッション２．	SNS３．	テーマプロジェクト（テーマは参加者によって変わる）
Academic Writing（仏）,2020,3C033,この授業はフランス語圏の国々での生活・勉学に必要とされる筆記コミュニケーション能力の向上を目的としています。フランスの文章構造と定型文を理解するためにモデル文書を分析することから始めます。そのことが次に行う文章作成のための基礎として役立つでしょう。
近代表象文化論,2020,3C113,イギリスを中心とする近代ヨーロッパにおけるさまざまな風景の表象と風景美学の理論を通して、近代から現代へとつながる人間と自然との関係の特徴を明らかにする。近代批判としてのロマン主義芸術。現代世界における人間と環境の関係の問題。「場所」の喪失。
専門演習Ｂ(1)（現代）,2020,3C209,ジェンダー・セクシュアリティ・市民権
専門演習Ｂ(3)（現代）,2020,3C213,ジェンダー・セクシュアリティ・市民権
専門演習Ｂ(1)（異文化）,2020,3C220,自分が関心をもって取り組みたい政治的・社会的な課題について探すことはとても大切です。他方で、その課題に出会った時に、どんな国や地域を具体例として取り上げることができるのでしょうか。本演習の前半では、ヨーロッパの国毎の特徴から、多様な政治社会的な文脈への理解を深めることを目指します。そして後半ではデータベースを活用しながら、ヨーロッパ諸国の政治制度および政党の政策的主張について比較調査を行ってもらいます。テーマはヨーロッパの政治ですが、本演習は受講者の調査・研究の視野を広げることを目標としています。そのため、異なる国・地域の政治現象へ関心のある受講者も歓迎します。なお本演習では、発表者がレジュメに基づき発表した後、全員で討論します。また政治制度および政党の政策位置のデータベースを使ったパソコン実習を予定しています。
専門演習Ｂ(3)（異文化）,2020,3C226,自分が関心をもって取り組みたい政治的・社会的な課題について探すことはとても大切です。他方で、その課題に出会った時に、どんな国や地域を具体例として取り上げることができるのでしょうか。本演習の前半では、ヨーロッパの国毎の特徴から、多様な政治社会的な文脈への理解を深めることを目指します。そして後半ではデータベースを活用しながら、ヨーロッパ諸国の政治制度および政党の政策的主張について比較調査を行ってもらいます。テーマはヨーロッパの政治ですが、本演習は受講者の調査・研究の視野を広げることを目標としています。そのため、異なる国・地域の政治現象へ関心のある受講者も歓迎します。なお本演習では、発表者がレジュメに基づき発表した後、全員で討論します。また政治制度および政党の政策位置のデータベースを使ったパソコン実習を予定しています。
情報科学概論,2020,1C016,情報機器が様々な形で私たちの生活に入り込んでいる今日では、社会活動を維持していく上で、コンピュータをはじめとする情報機器の利用は避けて通れない。この講義では、特に国際文化学部の学生が、コンピュータと関わっていく上で必要となる様々な基本的な知識を紹介する。
Academic Communication（独）,2020,1C032,日常生活と留学のためのドイツ語のコミュニケーション能力を身につけるための授業です。日常的な場面と大学の授業等の場面でドイツ語で話す・聞くことができるようになります。次の3つから参加者とともに学習内容を決定し、それに沿って授業を行います。１．	ディスカッション２．	SNS３．	テーマプロジェクト（テーマは参加者によって変わる）
ロシア語会話I,2020,1C050,ロシア語会話の初級用の授業です。
ラテン語入門I,2020,1C054,ラテン語文法の概略を学ぶ（前半）。これにより、ラテン語の簡単な文章を読み解く力をつける。
対人コミュニケーション論,2020,1C102,本授業では、認知心理学領域の数多くの研究事例を通じて、人間の心の働きの特徴について考え、理解を深めます。コミュニケーション場面において、人間が他者の視線や身振り、表情からいかに多くの情報を読み取っているのか、知覚、注意、記憶などの機能はどのようなバイアスや限界を持つのか、などについて近年の認知心理学のトピックスを参照しながら論じます。心理学実験のデモンストレーションや映像資料を交えながら、心理学に関わる個人的な疑問を科学的に考察すると共に、認知心理学分野の知識を深めましょう。
多文化政治社会論,2020,1C132,異なる文化的背景を持つ人々が一緒に暮らしていくための社会の「枠組み」とは各国でどのように作られていて、その下ではどういった取り組みがあるのでしょうか。本授業では、異なる文化的背景を持つ人々が武器をとって争う代わりに考案してきた政治制度（選挙制度や議会制度など）、そして実践してきた各種「営み」（メディアや裁判所などの役割）を概観していきます。
ロシア・東アジア社会文化論,2020,1C148,東アジアにおける国際関係史、ロシア対外政策と日露関係を中心に講義する。第一に、江戸時代から20世紀にかけての日露両国の相互イメージについて学び、日露関係における重要な問題を考察する。第二に、朝鮮半島や中国、欧米諸国などの要素を取り入れ、国際関係の枠組で分析を行う。第三に、日露文化交流・人的交流、日露経済関係について検討し、日露関係の多面的構造を解説する。最後に、視聴覚メディア（地図、絵画、映像など）を通じて、日露両国の相互イメージの過去と現在を紹介する。
専門演習Ａ（現代）,2020,1C208,「物語」とアダプテーション
Academic Writing（独）,2020,3C031,日常生活と留学のためのドイツ語のコミュニケーション能力を身につけるための授業です。日常的な場面と大学の授業等の場面でドイツ語で話す・聞くことができるようになります。次の3つから参加者とともに学習内容を決定し、それに沿って授業を行います。１．	ディスカッション２．	SNS３．	テーマプロジェクト（テーマは参加者によって変わる）
ロシア語会話II,2020,3C050,ロシア語会話と作文の初級用の授業です。
ラテン語入門II,2020,3C054,前期に引き続き、ラテン語文法の基礎を学ぶ。これにより、ある程度複雑なラテン文も辞書を頼りに読み解く力をつける。
環境倫理学,2020,3C115,"Social and Global Justice    This year, this class will address the theme ""Social and Global Justice"", which is much broader than that of ""Environmental Ethics,"" because we are now required to consider environmental issues in the context of much broader social problems in an increasingly globalized world.    Since the 1970s, there have been long and lively controversies about what is the just method or process to distribute not only the benefits of social cooperation but also the economic and social burdens created in society.  In addition, particularly in these two decades, not just social inequalities within a society, but also political and socioeconomic inequalities between societies have received much attention.       The classroom language is English, and the lecturer will welcome any students who want to read and actively discuss one of the most interesting books on social and global justice."
芸術文化形成論,2020,3C124,文化的多様性やマイノリティ文化への理解を深めるための一つのアプローチとして、フランス語圏の芸術文化を学ぶ
専門演習Ｂ(1)（情報）,2020,3C202,Q3(正田）心理学は，人をはじめとする生物の心理や行動の諸相とその背後にある仕組みを科学的に究明する学問です。この授業では，心理学実験を通して，人間の心理を測定し，その背景にある認知的メカニズムを推測・理解するための方法論を学びます。また卒業論文に向けて必要となる統計手法のいくつかを扱います。Q４(松本）心理学実験を実際に行いながら、人間の心の働きとその測定方法について実践的に学ぶ機会を提供します。人間の認知メカニズムを実証を通じて学ぶとともに、卒業研究に向けて必要なスキルの基礎を身に着けます。
専門演習Ｂ(3)（情報）,2020,3C205,Q3(正田）心理学は，人をはじめとする生物の心理や行動の諸相とその背後にある仕組みを科学的に究明する学問です。この授業では，心理学実験を通して，人間の心理を測定し，その背景にある認知的メカニズムを推測・理解するための方法論を学びます。また卒業論文に向けて必要となる統計手法のいくつかを扱います。Q４(松本）心理学実験を実際に行いながら、人間の心の働きとその測定方法について実践的に学ぶ機会を提供します。人間の認知メカニズムを実証を通じて学ぶとともに、卒業研究に向けて必要なスキルの基礎を身に着けます。
専門演習Ｂ(1)（現代）,2020,3C210,貧困、不平等、移民問題、テロ、戦乱等に関連する文献を輪読する。
専門演習Ｂ(3)（現代）,2020,3C214,貧困、不平等、移民問題、テロ、戦乱等に関連する文献を輪読する。
専門演習Ｂ(1)（異文化）,2020,3C219,三回生以上は、卒論の準備を段階的に進める。テーマの選択、先行研究や資料の収集、問いの設定、研究方法などを検討する。平和構築、安全保障、難民問題、世界で現在進行中の大量虐殺、中東・インド洋・ユーラシア・イスラーム世界の国際関係や地政学・比較政治学(市民やNGOの役割、多文化主義、日本との関係を含む)、途上国の開発や援助、エネルギー論、環境政治、AIの影響で生ずる変化等、グローバル社会の諸問題に関して演習形式で研究する。
専門演習Ｂ(3)（異文化）,2020,3C225,三回生以上は、卒論の準備を段階的に進める。テーマの選択、先行研究や資料の収集、問いの設定、研究方法などを検討する。平和構築、安全保障、難民問題、世界で現在進行中の大量虐殺、中東・インド洋・ユーラシア・イスラーム世界の国際関係や地政学・比較政治学(市民やNGOの役割、多文化主義、日本との関係を含む)、途上国の開発や援助、エネルギー論、環境政治、AIの影響で生ずる変化等、グローバル社会の諸問題に関して演習形式で研究する。
Academic Communication（仏）,2020,1C034,これまでに学習した基礎を確認しながら、初級の文法や表現を完成させ、初級から中級への橋渡しとなるコミュニケーション能力の向上を目的とします。この授業では、身の回りの問題や状況の説明、自分の経験や将来について、または情報交換を求めるなどの身近で日常的なテーマとして扱います。
中国語会話I,2020,1C049,中国語会話の中級用の授業です。
現代コリア語I,2020,1C051,韓国語の基礎をしっかり学ぶ。つまり、韓国語の読み書がしっかり身に付けることで、自己学習で上達が可能にする。
ジェンダー社会論,2020,1C117,ジェンダー概念と理論およびそれらをめぐる現実についての学修
専門演習Ａ（情報）,2020,1C201,授業のテーマは異文化間コミュニケーションとしての翻訳です。
専門演習Ａ（情報）,2020,1C203,"国際文化学部「専門演習A(情報)」は国際人間科学部「グローバル・コミュニケーション基礎演習C,D」で読み替えます。　グローバル・コミュニケーション基礎演習の情報コミュニケーション分野の演習です。C:　現在、我々の周りには数多くのコンピュータがある。パソコンは言うまでもなくスマホ・タブレット、さらには家電もコンピュータである。これらのシステムは、実は一つの基本ソフトウェア(オペレーティングシステム, OS)、UNIXから派生したものである。半世紀前に誕生したこのシステムが大元となり、現在に至っている。　勿論、このUNIXシステム自身も健在である。神戸大学のiMacはUNIXで動作している。この授業では、この古くから伝わるUNIXシステムの昔ながらの使い方を学びながら、アプリを使うだけでは分からないコンピュータの裏側を見ていこう。D:　データの構造化・組織化を学びます．大量のデータを整理することを通じて，資料の構成やデータの高効率運用を体験します．SQLによる問合せやPostgreSQLの操作演習も行います。"
中国語会話II,2020,3C049,中国語学力の向上
現代コリア語II,2020,3C051,韓国語の基礎をしっかり学ぶ。つまり、韓国語の読み書がしっかり身に付けることで、自己学習で上達が可能にする。
情報環境論,2020,3C078,情報環境論では，コミュニケーション，社会，経済における現実の現象を分析するための手法について，データ分析の手法と，モデルを用いたシミュレーションの手法について学びます。
文化様式成立論,2020,3C140,ヨーロッパ文化の形成に古代ローマが果たした役割を、言葉の面（言語と文学）から探る。
専門演習Ｂ(1)（異文化）,2020,3C218,EUの域内政治、対外関係について国際関係論の観点から理解を深める。グループワークでの調査・報告、全体での議論を行う。移民・難民問題は重要な柱となる。
専門演習Ｂ(3)（異文化）,2020,3C224,EUの域内政治、対外関係について国際関係論の観点から理解を深める。グループワークでの調査・報告、全体での議論を行う。移民・難民問題は重要な柱となる。
専門演習Ｂ(1)（地域）,2020,3C233,近代東アジアにおける日中関係
専門演習Ｂ(3)（地域）,2020,3C237,近代東アジアにおける日中関係
現代コリア語I,2020,1C052,韓国語の基礎をしっかり学ぶ。つまり、韓国語の読み書がしっかり身に付けることで、自己学習で上達が可能にする。
スペイン語入門I,2020,1C053,スペイン語初級文法の習得。直説法現在形に関する項目まで学びます。
国際コミュニケーション演習I,2020,1C060,"The aim of this seminar is to let students acquire the basic tools for enhancing their intercultural communication skills, in order to sustain their interest in experiencing an international environment. Theoretical as well as practical issues related to verbal and nonverbal communication in cross-cultural interactions will be addressed. Particular attention will be given to students’ real experience, knowledge or aspirations about living in a foreign country and communicating with local people. Students will share with the class experiences related to misunderstanding, discovery, stereotypes, unsaid expressions and metaphors, and will compare their mutual imaginaries about the countries of origin and destination."
翻訳文化形成論,2020,1C138,テーマ：古典の受容と視覚文化
中国社会システム論,2020,1C149,「周辺からの中国」 　多民族国家という視点から現在中国が抱えている問題を体系的に説明すること　具体的に言えば、「周縁」という共通の地理的、社会的特徴を持つ中国南部地域のムスリム社会、新疆のウイグル族社会、そして香港のムスリム社会、台湾のムスリム社会及び台湾の原住民社会など中国及びその他の社会の周辺に重層的に位置する共同体社会を実例に、その文化、宗教、宗族、公共、地域社会、民族、国家に対する認識と反応を通じて、「周縁性」に対する感性、捉え方及び捉え方の変容を歴史的かつ動態的に把握し、彼らの実生活にとって周縁性の持つ意味はなにか、彼らはそれぞれいかなる対応をとったのか、その政治的、文化的、社会的、政治的原因はなにか、といった「周縁性」を巡る諸問題にある規則性を抽出し、「周縁性」が持つ社会的意義、思想的価値及び人文社会科学研究のツールになる可能性を検証する。
スペイン語入門II,2020,3C053,スペイン語初級文法の習得。直説法点過去から接続法現在／命令文に関する項目までを学びます。
専門演習Ｂ(1)（情報）,2020,3C203,情報分野で卒業研究を進め，卒業論文を作成するために必要な技術を学びます。
専門演習Ｂ(3)（情報）,2020,3C206,情報分野で卒業研究を進め，卒業論文を作成するために必要な技術を学びます。
Aspects of EU Culture and Society（Lecture）,2020,1C029,"The aim of this course is to introduce students to the main social and cultural questions affecting the European space. Instead of approaching the “EU” from its idea and political project, we will start from a broader exploration of “Europe” – as a complex and heterogeneous construct, an unstable and shifting entity of whom the EU is only a partial phenomenon - looking at the concrete social problems that are challenging its societies at different levels: local, national, and regional.Issues of class, ethnicity, gender, sexuality, disability, poverty, wealth, health, housing will be analyzed according to the tendency in social sciences (especially through ethnographic methods in anthropology and sociology) to observe and analyze real people’s everyday lives."
